satellite_id,OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,operator,orbit_type,eccentricity_risk
493,METEOSAT-12 (MTG-I1),2022-170C,2026-06-20T05:59:05.580960,1.00273524,0.000332,0.7421,23.5307,70.9892,263.3203,0,U,54743,999,1300,0,-1.3e-07,0,GEO,GEO,0.332
494,SHIJIAN-23 (SJ-23),2023-002A,2026-06-20T11:48:12.491136,1.00087098,0.0003795,3.727,78.2744,275.1369,238.2597,0,U,55131,999,1254,0,-2.72e-06,0,GEO,GEO,0.3795
495,APSTAR-6E,2023-005A,2026-06-21T12:23:38.759712,1.00272313,7.53e-05,0.0336,240.6321,315.1115,33.8531,0,U,55239,999,1873,0,-3.19e-06,0,GEO,GEO,0.0753
496,USA 342,2023-008A,2026-06-19T16:53:16.090080,1.00267812,1.25e-05,0.0057,73.3519,107.0449,4.6843,0,U,55263,999,1254,0,0.0,0,GEO,GEO,0.0125
497,LDPE-3A,2023-008B,2026-06-20T08:49:38.238816,0.99145584,0.0001203,2.3572,81.6285,57.3943,140.0346,0,U,55264,999,1184,0,7.4e-07,0,GEO,GEO,0.1202999999999999
498,ELEKTRO-L 4,2023-016A,2026-06-20T19:00:47.579904,1.00271037,8.84e-05,0.0764,157.9076,20.164,181.9168,0,U,55506,999,1237,0,-6.2e-07,0,GEO,GEO,0.0883999999999999
499,AMAZONAS NEXUS,2023-017A,2026-06-19T19:38:38.806080,1.00264811,0.00047427,0.0386,39.7222,27.7449,74.2186,0,U,55508,999,707,0,-2.88e-06,0,GEO,GEO,0.47427
500,ZHONGXING-26,2023-023A,2026-06-21T21:55:59.606112,1.00271654,0.0003654,0.0668,71.1386,18.8407,274.2455,0,U,55686,999,1227,0,-3.54e-06,0,GEO,GEO,0.3654
501,LUCH-5X (OLYMP-K 2),2023-031A,2026-06-20T04:34:09.728832,1.00272356,8.49e-05,0.0319,70.1111,132.8971,195.9281,0,U,55841,999,1196,0,2.8e-07,0,GEO,GEO,0.0849
502,GAOFEN-13 02,2023-036A,2026-06-21T12:35:40.643808,1.00269978,0.0003996,1.0212,1.7574,337.6625,267.4934,0,U,55912,999,1213,0,-2.2e-06,0,GEO,GEO,0.3996
503,SES-18,2023-038A,2026-06-20T08:55:07.713120,1.00271692,7.5e-06,0.0112,310.7634,250.1603,98.3356,0,U,55970,999,1213,0,-1.06e-06,0,GEO,GEO,0.0075
504,SES-19,2023-038B,2026-06-20T08:24:38.675232,1.00270933,0.0001709,0.0305,294.0186,159.7518,166.0491,0,U,55971,999,1212,0,8.3e-07,0,GEO,GEO,0.1709
505,INTELSAT 40E (IS-40E),2023-052A,2026-06-20T07:08:38.609376,1.00271291,0.0002048,0.0177,79.6556,45.4481,159.5614,0,U,56174,999,1185,0,-1.79e-06,0,GEO,GEO,0.2047999999999999
506,VIASAT-3 F1,2023-060A,2026-06-19T19:17:44.369664,1.00271166,0.00011009,0.024,350.3723,91.4983,26.6368,0,U,56370,999,1146,0,0.0,0,GEO,GEO,0.11009
507,ARCTURUS,2023-060B,2026-06-20T09:45:06.511104,1.00272479,0.0002642,2.7832,79.9141,53.4469,354.0398,0,U,56371,999,1149,0,-6.8e-07,0,GEO,GEO,0.2642
508,GS-1,2023-060C,2026-06-18T17:20:11.631840,1.00274169,0.00037425,2.7297,79.8139,281.5832,255.0259,0,U,56372,999,755,0,-2.32e-06,0,GEO,GEO,0.37425
509,BEIDOU-3 G4,2023-066A,2026-06-21T13:56:59.066880,1.00272609,0.0004518,0.4811,332.6937,178.0024,108.3779,0,U,56564,999,1143,0,-2.82e-06,0,GEO,GEO,0.4518
510,ARABSAT-7B (BADR-8),2023-075A,2026-06-19T19:50:40.010208,1.00269503,0.0004455,0.0749,27.8208,357.9211,205.9741,0,U,56757,999,1114,0,1.39e-06,0,GEO,GEO,0.4455
511,NVS-01 (IRNSS-1J),2023-076A,2026-06-20T10:53:22.983072,1.00277443,0.0003064,2.1573,244.1904,17.9405,299.3162,0,U,56759,999,1114,0,-3.39e-06,0,GEO,GEO,0.3064
512,NUSANTARA TIGA (SATRIA),2023-086A,2026-06-20T04:58:07.167360,1.00272989,0.00037201,0.034,356.2217,352.307,140.4223,0,U,57045,999,979,0,-2.39e-06,0,GEO,GEO,0.37201
513,H2SAT (HEINRICH HERTZ),2023-093A,2026-06-19T23:08:45.074112,1.00267176,9.244e-05,0.0547,104.6262,92.6961,58.7472,0,U,57213,999,1094,0,-4e-08,0,GEO,GEO,0.09244
514,SYRACUSE 4B,2023-093B,2026-06-19T23:06:37.778400,1.00267268,3.314e-05,0.0176,27.0469,143.7789,77.5597,0,U,57214,999,699,0,-6e-07,0,GEO,GEO,0.0331399999999999
515,JUPITER 3 (ECHOSTAR 24),2023-108A,2026-06-19T12:29:55.901760,1.00270358,0.00013041,0.0217,356.894,90.3513,272.7697,0,U,57479,999,1066,0,0.0,0,GEO,GEO,0.13041
516,GALAXY 37 (G-37),2023-112A,2026-06-20T09:28:38.667936,1.00271511,0.0002022,0.0142,358.8482,87.9609,196.9518,0,U,57493,999,1057,0,4.4e-07,0,GEO,GEO,0.2022
517,LUDI TANCE-4 01A,2023-120A,2026-06-20T01:16:44.300928,1.00268643,0.00012596,15.1003,193.8881,33.4484,149.7746,0,U,57624,999,1057,0,-1.8e-06,0,GEO,NON_GEO,0.12596
518,TJS-10,2023-169A,2026-06-20T09:50:50.961120,1.00273826,0.0003823,2.5538,80.4555,108.2378,320.0657,0,U,58204,999,957,0,-2.55e-06,0,GEO,GEO,0.3823
519,ZHONGXING-6E,2023-172A,2026-06-21T06:19:38.768160,1.00269602,0.0002889,0.048,90.8226,352.6953,36.3685,0,U,58253,999,970,0,-3.63e-06,0,GEO,GEO,0.2889
520,YAOGAN-41,2023-197A,2026-06-21T13:22:10.862688,1.00268395,0.0014172,3.1198,313.2244,193.3438,86.8902,0,U,58582,999,936,0,-3.64e-06,0,GEO,GEO,1.4172
521,OVZON-3,2024-003A,2026-06-20T02:50:51.948384,1.00272956,3.39e-06,0.0048,130.8972,159.5336,80.2964,0,U,58698,999,747,0,4.6e-07,0,GEO,GEO,0.00339
522,INSAT-3DS,2024-033A,2026-06-20T09:47:51.249120,1.00271082,0.0001171,0.0479,106.3313,331.3573,59.9873,0,U,58990,999,4710,0,-1.6e-06,0,GEO,GEO,0.1171
523,MERAH PUTIH 2,2024-035A,2026-06-19T20:15:20.594304,1.00268914,0.00012335,0.0162,1.6947,88.4357,234.7192,0,U,58995,999,861,0,0.0,0,GEO,GEO,0.1233499999999999
524,TJS-11,2024-037A,2026-06-22T00:03:44.205408,1.0027385,0.0003303,4.1923,327.159,110.0551,306.5557,0,U,59020,999,863,0,-3.65e-06,0,GEO,GEO,0.3303
525,HULIANWAN GAOGUI-01 (HG-01),2024-040A,2026-06-20T06:08:34.671840,1.00271141,0.0003106,0.0688,329.7998,66.6512,357.7319,0,U,59069,999,735,0,1.51e-06,0,GEO,GEO,0.3106
526,PAKSAT-MM1,2024-104A,2026-06-19T23:11:14.680896,1.00266668,0.00024596,0.0325,88.0434,347.0422,219.0963,0,U,59915,999,755,0,1.48e-06,0,GEO,GEO,0.2459599999999999
